Topic,Difficulty Level,Question Text,Answer Choice 1,Answer Choice 2,Answer Choice 3 (optional),Answer Choice 4 (optional),Correct Answer
Problem Management Difficult,Difficult,<div>A Known Error has existed for 14 months documenting a memory leak in third-party middleware. No vendor patch exists; the workaround is a nightly service restart. Stakeholders are asking whether to close the Known Error. What should the Problem Manager recommend?</div>,"Raise a CAPA targeting internal re-architecture to eliminate the third-party dependency, and close the Known Error once the CAPA has a confirmed owner.",Transfer the Known Error to vendor management and suspend problem management involvement until the vendor provides a resolution timeline.,"Keep the Known Error open, formalize the workaround with a documented owner and review cadence, and track vendor patch progress with defined escalation triggers.","Close the Known Error and log the vendor dependency as a risk item in the risk register, removing it from active problem management tracking.",Choice 3
Problem Management Difficult,Difficult,"<div>A CAPA implemented six months ago to address database connection pool exhaustion shows a 30% incident reduction, but incidents still occur monthly. How should the Problem Manager assess this CAPA's effectiveness?</div>",Transfer ownership to the database team and extend the measurement window by 90 days before making an effectiveness determination.,"Mark the CAPA effective since a 30% reduction demonstrates measurable improvement, and close the problem record accordingly.","Escalate to senior management as failed, since continued monthly recurrence means the corrective action did not eliminate the issue.",Treat the CAPA as partially effective and reopen investigation to determine whether residual incidents share the same root cause or a distinct contributing factor.,Choice 4
Problem Management Difficult,Difficult,<div>Three incidents share a root cause: an undocumented configuration parameter changed during a routine release that passed CAB review. What is the most appropriate problem management output to reduce recurrence risk in future releases?</div>,Close the problem record once the configuration is corrected and informally recommend the release team add a pre-deployment checklist item.,"Raise a Known Error documenting the parameter and its impact, then request reversion in the next scheduled maintenance window.",Escalate to the Change Manager to block future releases from this team until a full configuration parameter audit is completed.,"Feed a formal risk input into CAB flagging undocumented configuration parameters as a release review criterion, and update runbooks with detection guidance.",Choice 4
Problem Management Difficult,Difficult,<div>A major incident is resolved via a hotfix at 03:45 and closed at 04:10. The Problem Manager is notified at 09:00. Which artifact must be requested first to ensure investigation continuity and accurate timeline reconstruction?</div>,The incident commander's verbal debrief notes capturing decision context not recorded in ticket fields.,"The monitoring alert that triggered the incident, since it defines the true detection start time.","The post-incident review calendar invite, to confirm stakeholder availability before committing to an RCA timeline.","The major incident record including responder timeline, escalation log, actions taken, and linked hotfix change record.",Choice 4
Problem Management Difficult,Difficult,"<div>A Problem Manager is correlating signals for a recurring API gateway latency issue using incident tickets, synthetic monitoring data, a change log, and application performance traces. Which signal combination most directly distinguishes a configuration drift root cause from a traffic-volume root cause?</div>",Per-request latency distribution from APM traces correlated with gateway configuration changes in the change log over the same period,"Incident ticket timestamps correlated with change log entries, compared against traffic volume trends from synthetic monitoring",Synthetic monitoring uptime percentages correlated with incident MTTR trends to identify whether degradation worsened after each closure,Change log entry counts per week compared against total incident volume per week to assess change-frequency correlation,Choice 1
Problem Management Difficult,Difficult,"<div>During RCA for a database cluster failover, a scheduled index rebuild ran at 02:00, a deployment occurred at 02:15, CPU saturation was detected at 02:18, and failover happened at 02:22. A team member argues the deployment is the root cause. What is the most rigorous challenge to that hypothesis?</div>",The hypothesis lacks evidence isolating the deployment's contribution; the concurrent index rebuild could fully account for the CPU saturation,"The 7-minute gap between deployment and failover is too short for typical deployment-induced failures, pointing away from that cause","The index rebuild preceded the deployment, so causation must flow from the rebuild as the earliest event in the timeline",Deployments are CAB-approved and therefore an unlikely root cause unless a rollback was attempted in the same window,Choice 1
Problem Management Difficult,Difficult,"<div>Over six months, a payments service logged 11 incidents averaging 40 minutes resolution each, all closed as 'network timeout.' No problem record exists. A new audit flags this cluster. What is the most appropriate first action for the Problem Manager?</div>","Raise a problem record, frame scope around the network timeout pattern, and assess cumulative business impact to set investigation priority","Escalate to the network team to fix the timeout configuration, then validate the fix resolves recurrence before opening a problem record",Request the service owner to add a Known Error entry to the incidents and defer formal problem work until the next major incident,Reopen the most recent incident ticket and reclassify it as a problem to preserve traceability and avoid duplicating records,Choice 1
Problem Management Difficult,Difficult,"<div>A monitoring platform raises 47 alerts across three microservices within 90 minutes while a major incident is declared affecting checkout. As Problem Manager, which criterion should most directly determine whether to open a formal Problem Record now?</div>","The root cause is unknown or likely to recur after the incident resolves, warranting a structured investigation",Alert volume exceeds a predefined threshold that automatically triggers problem logging regardless of incident status,"The incident is declared P1, making problem record creation a mandatory compliance step during the incident lifecycle","The three impacted microservices share a common owner, indicating a systemic issue that auto-qualifies as a problem",Choice 1
Problem Management Difficult,Difficult,<div>An RCA for a network segmentation failure concludes that a firewall rule change caused the outage. The problem manager asks 'why not before?' — the same rule type had been deployed 11 times previously without incident. Which reasoning best explains why this question is critical to RCA validity?</div>,It proves the firewall rule cannot be the root cause because 11 prior deployments without failure confirm the rule type is safe,It tests whether the identified cause is sufficient alone or whether a latent condition or interaction effect made this deployment uniquely impactful,"It redirects scope to the network team's pre-deployment testing process, since the outage must have originated in validation failures",It establishes CAB accountability for the outage by confirming the change management process failed to classify the rule as high-risk,Choice 2
Problem Management Difficult,Difficult,"<div>A problem manager receives three simultaneous trigger sources: elevated disk I/O on a database cluster, an audit finding on backup job failures for the same cluster, and four P3 incidents on the cluster over 30 days. The cluster hosts a tier-1 financial reporting service. Which prioritization decision is most defensible?</div>",Assign high priority because three independent triggers converge on a tier-1 CI with a recurring incident pattern and an open audit risk,Defer prioritization until monitoring confirms the disk I/O breach has been sustained for more than 72 consecutive hours,Assign medium priority since none of the individual triggers alone constitutes a P1 or P2 incident severity,Prioritize the audit finding exclusively because regulatory risk outweighs operational incident frequency in all tier-1 scenarios,Choice 1
